Plantation year,Plot,height (cm),canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB       (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2010,5,155,159,125,1.584,1.42,3.357,0.218,3.098,0.201,6.455,0.419,1.611,0.105,1.208,0.078,2.819,0.183,153.938
2017,22,155,90,60,0.442,0.75,0.856,0.111,0.79,0.103,1.647,0.214,0.411,0.053,0.308,0.04,0.719,0.093,76.969
2017,20,155,57,35,0.166,0.46,0.301,0.039,0.278,0.036,0.578,0.075,0.144,0.019,0.108,0.014,0.253,0.033,76.969
2017,22,155,50,30,0.126,0.4,0.223,0.029,0.206,0.027,0.429,0.056,0.107,0.014,0.08,0.01,0.187,0.024,76.969
2017,19,155,43,63,0.221,0.53,0.407,0.026,0.376,0.024,0.783,0.051,0.196,0.013,0.147,0.01,0.342,0.022,153.938
2010,5,155,37,38,0.11,0.38,0.194,0.013,0.179,0.012,0.374,0.024,0.093,0.006,0.07,0.005,0.163,0.011,153.938
2010,4,154,160,127,1.617,1.44,3.433,0.223,3.169,0.206,6.601,0.429,1.648,0.107,1.236,0.08,2.884,0.187,153.938
2010,2,154,132,110,1.15,1.21,2.383,0.155,2.2,0.143,4.583,0.298,1.144,0.074,0.858,0.056,2.002,0.13,153.938
2017,3_new,153,84,49,0.347,0.67,0.662,0.263,0.611,0.243,1.273,0.506,0.318,0.126,0.238,0.095,0.556,0.221,25.133
2017,1_new,153,62,69,0.337,0.66,0.641,0.255,0.592,0.235,1.232,0.49,0.308,0.122,0.231,0.092,0.538,0.214,25.133
2017,30,153,90,70,0.503,0.8,0.983,0.128,0.907,0.118,1.891,0.246,0.472,0.061,0.354,0.046,0.826,0.107,76.969
2017,19,153,70,65,0.358,0.68,0.683,0.044,0.631,0.041,1.314,0.085,0.328,0.021,0.246,0.016,0.574,0.037,153.938
2017,3_new,152,95,85,0.636,0.9,1.265,0.503,1.168,0.465,2.433,0.968,0.607,0.242,0.455,0.181,1.063,0.423,25.133
2017,5_new,152,84,65,0.436,0.75,0.844,0.336,0.779,0.31,1.623,0.646,0.405,0.161,0.304,0.121,0.709,0.282,25.133
2017,1_new,152,74,69,0.402,0.72,0.773,0.308,0.714,0.284,1.487,0.591,0.371,0.148,0.278,0.111,0.649,0.258,25.133
2017,16,152,126,137,1.358,1.32,2.848,0.185,2.628,0.171,5.476,0.356,1.367,0.089,1.025,0.067,2.392,0.155,153.938
2017,1_new,152,48,34,0.132,0.41,0.235,0.094,0.217,0.086,0.452,0.18,0.113,0.045,0.085,0.034,0.198,0.079,25.133
2017,2_new,152,40,40,0.126,0.4,0.223,0.089,0.206,0.082,0.429,0.171,0.107,0.043,0.08,0.032,0.187,0.075,25.133
2010,2,151,130,110,1.131,1.2,2.341,0.152,2.161,0.14,4.502,0.292,1.124,0.073,0.843,0.055,1.967,0.128,153.938
2010,5,151,125,95,0.95,1.1,1.943,0.126,1.794,0.117,3.737,0.243,0.933,0.061,0.7,0.045,1.632,0.106,153.938
2017,2_new,151,30,60,0.159,0.45,0.287,0.114,0.265,0.105,0.552,0.22,0.138,0.055,0.103,0.041,0.241,0.096,25.133
2017,16,151,70,62,0.342,0.66,0.651,0.042,0.601,0.039,1.253,0.081,0.313,0.02,0.234,0.015,0.547,0.036,153.938
2017,20,151,35,56,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,30,150,145,70,0.908,1.08,1.85,0.24,1.708,0.222,3.558,0.462,0.888,0.115,0.666,0.087,1.554,0.202,76.969
2010,2,150,152,86,1.112,1.19,2.3,0.149,2.123,0.138,4.422,0.287,1.104,0.072,0.828,0.054,1.932,0.125,153.938
2010,3,150,77,107,0.665,0.92,1.326,0.086,1.224,0.079,2.55,0.166,0.636,0.041,0.477,0.031,1.114,0.072,153.938
2017,18,150,70,50,0.283,0.6,0.531,0.069,0.49,0.064,1.021,0.133,0.255,0.033,0.191,0.025,0.446,0.058,76.969
2017,14,150,74,86,0.503,0.8,0.983,0.064,0.907,0.059,1.891,0.123,0.472,0.031,0.354,0.023,0.826,0.054,153.938
2017,14,150,83,72,0.472,0.78,0.919,0.06,0.848,0.055,1.766,0.115,0.441,0.029,0.331,0.021,0.772,0.05,153.938
2017,17,150,80,63,0.402,0.72,0.773,0.05,0.714,0.046,1.487,0.097,0.371,0.024,0.278,0.018,0.649,0.042,153.938
2017,16,150,79,55,0.353,0.67,0.673,0.044,0.621,0.04,1.294,0.084,0.323,0.021,0.242,0.016,0.565,0.037,153.938
2017,22,150,70,25,0.177,0.48,0.322,0.042,0.297,0.039,0.62,0.08,0.155,0.02,0.116,0.015,0.271,0.035,76.969
2017,17,150,42,81,0.297,0.62,0.56,0.036,0.517,0.034,1.077,0.07,0.269,0.017,0.202,0.013,0.47,0.031,153.938
2017,19,150,42,35,0.116,0.39,0.206,0.013,0.19,0.012,0.395,0.026,0.099,0.006,0.074,0.005,0.173,0.011,153.938
