site,year,plot_name,full_plot_name,height_cm,crown_diameter_cm,total_tree_c_kg,total_tree_c_Mg_ha
A,2017,Sample_Plot#27,siteA_2017_plot_27,110,122,2.02,0.131
A,2017,Sample_Plot#32,siteA_2017_plot_32,110,115.99999999999999,1.812,0.118
A,2010,Sample_Plot#01,siteA_2010_plot_01,110,114.99999999999999,1.795,0.117
A,2010,Sample_Plot#06,siteA_2010_plot_06,110,113.99999999999999,1.762,0.114
A,2010,Sample_Plot#06,siteA_2010_plot_06,110,112.99999999999999,1.729,0.112
A,2010,Sample_Plot#05,siteA_2010_plot_05,110,108,1.554,0.101
A,2017,Sample_Plot#14,siteA_2017_plot_14,110,106,1.493,0.097
A,2010,Sample_Plot#01,siteA_2010_plot_01,110,104,1.433,0.093
A,2017,Sample_Plot#27,siteA_2017_plot_27,110,100,1.331,0.086
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,97,1.247,0.081
A,2010,Sample_Plot#06,siteA_2010_plot_06,110,97,1.234,0.08
A,2017,Sample_Plot#23,siteA_2017_plot_23,110,93,1.127,0.073
A,2017,Sample_Plot#35,siteA_2017_plot_35,110,87,0.988,0.064
A,2017,Sample_Plot#23,siteA_2017_plot_23,110,86,0.952,0.062
A,2017,Sample_Plot#08,siteA_2017_plot_08,110,84,0.917,0.06
A,2017,Sample_Plot#32,siteA_2017_plot_32,110,84,0.905,0.059
A,2017,Sample_Plot#27,siteA_2017_plot_27,110,83,0.893,0.058
A,2010,Sample_Plot#01,siteA_2010_plot_01,110,81,0.848,0.055
A,2017,Sample_Plot#14,siteA_2017_plot_14,110,81,0.848,0.055
A,2017,Sample_Plot#28,siteA_2017_plot_28,110,81,0.848,0.055
A,2017,Sample_Plot#27,siteA_2017_plot_27,110,80,0.815,0.053
A,2017,Sample_Plot#25,siteA_2017_plot_25,110,77,0.761,0.049
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,76,0.73,0.047
A,2017,Sample_Plot#23,siteA_2017_plot_23,110,75,0.709,0.046
A,2010,Sample_Plot#07,siteA_2010_plot_07,110,74,0.699,0.045
A,2010,Sample_Plot#03,siteA_2010_plot_03,110,73,0.679,0.044
A,2017,Sample_Plot#17,siteA_2017_plot_17,110,73,0.669,0.043
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,72,0.659,0.043
A,2010,Sample_Plot#05,siteA_2010_plot_05,110,71,0.64,0.042
A,2010,Sample_Plot#02,siteA_2010_plot_02,110,69,0.592,0.038
A,2010,Sample_Plot#02,siteA_2010_plot_02,110,68,0.583,0.038
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,68,0.574,0.037
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,68,0.574,0.037
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,67,0.565,0.037
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,67,0.556,0.036
A,2010,Sample_Plot#07,siteA_2010_plot_07,110,65,0.53,0.034
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,65,0.53,0.034
A,2017,Sample_Plot#17,siteA_2017_plot_17,110,65,0.521,0.034
A,2017,Sample_Plot#19,siteA_2017_plot_19,110,64,0.512,0.033
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,63,0.495,0.032
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,63,0.487,0.032
A,2017,Sample_Plot#13,siteA_2017_plot_13,110,63,0.487,0.032
A,2017,Sample_Plot#14,siteA_2017_plot_14,110,63,0.487,0.032
A,2010,Sample_Plot#07,siteA_2010_plot_07,110,60,0.446,0.029
A,2017,Sample_Plot#28,siteA_2017_plot_28,110,60,0.438,0.028
A,2017,Sample_Plot#17,siteA_2017_plot_17,110,59,0.43,0.028
A,2010,Sample_Plot#05,siteA_2010_plot_05,110,59,0.423,0.027
A,2017,Sample_Plot#14,siteA_2017_plot_14,110,57.99999999999999,0.415,0.027
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,57.99999999999999,0.407,0.026
A,2017,Sample_Plot#08,siteA_2017_plot_08,110,56.99999999999999,0.392,0.025
A,2017,Sample_Plot#14,siteA_2017_plot_14,110,56.00000000000001,0.385,0.025
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,56.00000000000001,0.385,0.025
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,55.00000000000001,0.37,0.024
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,54,0.356,0.023
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,53,0.342,0.022
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,53,0.342,0.022
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,53,0.342,0.022
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,52,0.328,0.021
A,2017,Sample_Plot#14,siteA_2017_plot_14,110,52,0.322,0.021
A,2017,Sample_Plot#13,siteA_2017_plot_13,110,50,0.302,0.02
A,2017,Sample_Plot#14,siteA_2017_plot_14,110,50,0.302,0.02
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,49,0.289,0.019
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,49,0.289,0.019
A,2017,Sample_Plot#28,siteA_2017_plot_28,110,49,0.289,0.019
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,48,0.271,0.018
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,48,0.271,0.018
A,2017,Sample_Plot#17,siteA_2017_plot_17,110,48,0.271,0.018
A,2017,Sample_Plot#19,siteA_2017_plot_19,110,48,0.271,0.018
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,47,0.265,0.017
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,47,0.265,0.017
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,46,0.253,0.016
A,2017,Sample_Plot#09,siteA_2017_plot_09,110,46,0.247,0.016
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,45,0.241,0.016
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,44,0.23,0.015
A,2017,Sample_Plot#08,siteA_2017_plot_08,110,44,0.224,0.015
A,2017,Sample_Plot#12,siteA_2017_plot_12,110,44,0.224,0.015
A,2017,Sample_Plot#19,siteA_2017_plot_19,110,43,0.219,0.014
A,2017,Sample_Plot#19,siteA_2017_plot_19,110,43,0.213,0.014
A,2017,Sample_Plot#19,siteA_2017_plot_19,110,40,0.187,0.012
A,2017,Sample_Plot#23,siteA_2017_plot_23,110,40,0.187,0.012
A,2017,Sample_Plot#08,siteA_2017_plot_08,110,40,0.182,0.012
A,2017,Sample_Plot#17,siteA_2017_plot_17,110,39,0.173,0.011
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,37,0.159,0.01
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,36,0.15,0.01
A,2017,Sample_Plot#17,siteA_2017_plot_17,110,35,0.141,0.009
A,2017,Sample_Plot#17,siteA_2017_plot_17,110,34,0.132,0.009
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,34,0.128,0.008
A,2017,Sample_Plot#08,siteA_2017_plot_08,110,31,0.109,0.007
A,2017,Sample_Plot#16,siteA_2017_plot_16,110,16,0.026,0.002
A,2017,Sample_Plot#19,siteA_2017_plot_19,109,121,1.984,0.129
A,2010,Sample_Plot#04,siteA_2010_plot_04,109,105,1.463,0.095
A,2017,Sample_Plot#13,siteA_2017_plot_13,109,90,1.05,0.068
A,2017,Sample_Plot#29,siteA_2017_plot_29,109,89,1.037,0.067
A,2017,Sample_Plot#14,siteA_2017_plot_14,109,87,0.988,0.064
A,2010,Sample_Plot#01,siteA_2010_plot_01,109,86,0.964,0.063
A,2017,Sample_Plot#08,siteA_2017_plot_08,109,83,0.882,0.057
A,2017,Sample_Plot#19,siteA_2017_plot_19,109,80,0.815,0.053
A,2017,Sample_Plot#09,siteA_2017_plot_09,109,77,0.761,0.049
A,2017,Sample_Plot#14,siteA_2017_plot_14,109,70,0.611,0.04
A,2017,Sample_Plot#26,siteA_2017_plot_26,109,68,0.583,0.038
A,2017,Sample_Plot#28,siteA_2017_plot_28,109,63,0.495,0.032
A,2017,Sample_Plot#14,siteA_2017_plot_14,109,57.99999999999999,0.415,0.027
A,2017,Sample_Plot#17,siteA_2017_plot_17,109,57.99999999999999,0.415,0.027
A,2017,Sample_Plot#12,siteA_2017_plot_12,109,56.99999999999999,0.392,0.025
A,2017,Sample_Plot#12,siteA_2017_plot_12,109,54,0.356,0.023
A,2017,Sample_Plot#16,siteA_2017_plot_16,109,50,0.302,0.02
A,2017,Sample_Plot#16,siteA_2017_plot_16,109,50,0.296,0.019
A,2010,Sample_Plot#02,siteA_2010_plot_02,109,49,0.289,0.019
A,2017,Sample_Plot#08,siteA_2017_plot_08,109,46,0.247,0.016
A,2017,Sample_Plot#16,siteA_2017_plot_16,109,46,0.247,0.016
A,2017,Sample_Plot#12,siteA_2017_plot_12,109,41,0.198,0.013
A,2017,Sample_Plot#16,siteA_2017_plot_16,109,41,0.198,0.013
A,2017,Sample_Plot#09,siteA_2017_plot_09,109,41,0.192,0.012
A,2017,Sample_Plot#16,siteA_2017_plot_16,109,40,0.187,0.012
A,2017,Sample_Plot#16,siteA_2017_plot_16,109,40,0.187,0.012
A,2017,Sample_Plot#08,siteA_2017_plot_08,109,39,0.177,0.012
A,2017,Sample_Plot#17,siteA_2017_plot_17,109,27,0.078,0.005
A,2010,Sample_Plot#02,siteA_2010_plot_02,108,106,1.508,0.098
A,2010,Sample_Plot#02,siteA_2010_plot_02,108,101,1.346,0.087
A,2017,Sample_Plot#35,siteA_2017_plot_35,108,92,1.101,0.072
A,2010,Sample_Plot#05,siteA_2010_plot_05,108,87,0.976,0.063
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,86,0.964,0.063
A,2010,Sample_Plot#07,siteA_2010_plot_07,108,77,0.75,0.049
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,75,0.719,0.047
A,2017,Sample_Plot#17,siteA_2017_plot_17,108,72,0.649,0.042
A,2010,Sample_Plot#02,siteA_2010_plot_02,108,68,0.574,0.037
A,2017,Sample_Plot#09,siteA_2017_plot_09,108,67,0.565,0.037
A,2017,Sample_Plot#17,siteA_2017_plot_17,108,65,0.521,0.034
A,2017,Sample_Plot#14,siteA_2017_plot_14,108,64,0.512,0.033
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,63,0.487,0.032
A,2017,Sample_Plot#14,siteA_2017_plot_14,108,60,0.446,0.029
A,2017,Sample_Plot#14,siteA_2017_plot_14,108,57.99999999999999,0.415,0.027
A,2017,Sample_Plot#14,siteA_2017_plot_14,108,57.99999999999999,0.407,0.026
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,57.99999999999999,0.407,0.026
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,56.00000000000001,0.378,0.025
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,54,0.356,0.023
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,54,0.356,0.023
A,2017,Sample_Plot#17,siteA_2017_plot_17,108,54,0.356,0.023
